"(-39.249501333333335, -180.22153766666665)","[2, 18]"
"(-36.249501333333335, -178.22153766666665)","[3, 17]"
"(-39.58283466666666, -181.22153766666665)","[0, 8]"
"(-36.58283466666666, -179.22153766666665)","[1, 4]"
"(-32.249501333333335, -181.8882043333333)","[3, 5, 12]"
"(-31.582834666666667, -186.55487099999996)","[4, 9]"
"(-45.249501333333335, -196.22153766666665)",[7]
"(-43.916168, -190.8882043333333)","[6, 8, 11]"
"(-40.249501333333335, -187.22153766666665)","[2, 7, 9]"
"(-37.58283466666666, -190.55487099999996)","[5, 8]"
"(-48.249501333333335, -185.8882043333333)","[11, 21]"
"(-44.249501333333335, -185.22153766666665)","[7, 10]"
"(-30.916168, -180.55487099999996)","[4, 16]"
"(-10.582834666666667, -165.88820433333333)","[14, 45]"
"(-11.582834666666669, -172.22153766666665)","[13, 15]"
"(-17.24950133333333, -176.22153766666665)","[14, 16]"
"(-23.582834666666667, -174.8882043333333)","[12, 15, 37]"
"(-37.58283466666666, -177.8882043333333)","[1, 19]"
"(-40.58283466666666, -179.8882043333333)","[0, 20]"
"(-37.249501333333335, -176.8882043333333)","[17, 23]"
"(-40.249501333333335, -178.8882043333333)","[18, 22]"
"(-45.916168, -181.8882043333333)","[10, 22]"
"(-44.58283466666666, -180.55487099999996)","[20, 21, 23]"
"(-42.58283466666666, -179.22153766666665)","[19, 22, 27]"
"(-58.58283466666666, -175.8882043333333)",[25]
"(-51.916168, -165.88820433333333)","[24, 26, 52]"
"(-42.916168, -159.22153766666665)","[25, 27]"
"(-41.916168, -168.88820433333333)","[23, 26, 39]"
"(-16.916168, -149.88820433333333)",[29]
"(-18.24950133333333, -149.554871)","[28, 30]"
"(-22.582834666666667, -147.22153766666665)","[29, 31, 35]"
"(-24.24950133333333, -142.88820433333333)","[30, 32]"
"(-15.916167999999999, -142.22153766666665)","[31, 33, 1207]"
"(-16.24950133333333, -137.22153766666665)","[32, 34]"
"(-11.582834666666665, -134.554871)","[33, 82]"
"(-29.24950133333333, -146.554871)","[30, 36]"
"(-24.582834666666667, -151.22153766666665)","[35, 39]"
"(-21.24950133333333, -164.88820433333333)","[16, 38]"
"(-28.916168, -169.554871)","[37, 39]"
"(-29.916168, -159.554871)","[27, 36, 38]"
"(-5.582834666666667, -152.22153766666665)","[41, 1242]"
"(-9.916168, -150.22153766666665)","[40, 1208]"
"(4.750498666666666, -156.22153766666665)","[43, 65]"
"(3.7504986666666666, -161.88820433333333)","[42, 44]"
"(-1.9161679999999999, -165.88820433333333)","[43, 45]"
"(-6.582834666666667, -163.554871)","[13, 44, 1242]"
"(-81.24950133333333, -131.22153766666665)","[47, 116]"
"(-79.24950133333333, -137.88820433333333)","[46, 48, 49]"
"(-80.58283466666667, -141.22153766666665)",[47]
"(-76.24950133333333, -136.22153766666665)","[47, 54]"
"(-50.916168, -128.88820433333333)",[56]
"(-45.58283466666666, -136.88820433333333)","[52, 56]"
"(-52.58283466666666, -145.554871)","[25, 51, 53]"
"(-64.58283466666667, -146.554871)","[52, 54, 55]"
"(-68.916168, -133.554871)","[49, 53, 141]"
"(-69.58283466666667, -158.22153766666665)",[53]
"(-48.249501333333335, -132.88820433333333)","[50, 51]"
"(9.750498666666665, -125.22153766666668)","[58, 74]"
"(10.750498666666665, -123.554871)",[57]
"(47.083832, -133.554871)","[60, 104]"
"(44.41716533333334, -131.22153766666665)","[59, 64]"
"(25.083832, -110.554871)","[62, 95]"
"(29.417165333333333, -112.554871)","[61, 1240]"
"(35.083832, -135.88820433333333)","[64, 1240]"
"(40.750498666666665, -126.88820433333335)","[60, 63]"
"(11.083832000000001, -157.554871)","[42, 66]"
"(16.083832, -154.554871)","[65, 1241]"
"(5.083832, -133.22153766666665)",[77]
"(7.417165333333333, -128.554871)",[69]
"(6.417165333333333, -129.554871)","[68, 84]"
"(-14.916168, -109.88820433333335)",[71]
"(-14.249501333333335, -111.554871)","[70, 81]"
"(-15.916167999999999, -116.22153766666668)",[73]
"(-13.916167999999999, -119.554871)","[72, 80]"
"(8.750498666666667, -124.88820433333335)","[57, 78]"
"(3.0838319999999992, -109.88820433333335)","[76, 81]"
"(-4.916168000000001, -105.22153766666668)","[75, 162]"
"(1.0838320000000001, -135.554871)","[67, 84]"
"(9.083832, -122.88820433333335)","[74, 79]"
"(2.0838319999999992, -123.88820433333335)","[78, 80, 83]"
"(-4.916168000000001, -119.88820433333335)","[73, 79, 81]"
"(-5.582834666666668, -114.22153766666668)","[71, 75, 80]"
"(-9.249501333333335, -131.88820433333333)","[34, 83]"
"(-3.2495013333333334, -130.88820433333333)","[79, 82, 84]"
"(2.083832, -132.88820433333333)","[69, 77, 83]"
"(68.41716533333333, -115.22153766666668)",[86]
"(69.083832, -117.88820433333335)","[85, 88, 99]"
"(76.41716533333333, -113.88820433333335)","[88, 1190, 1221]"
"(73.41716533333333, -117.22153766666668)","[86, 87]"
"(41.41716533333334, -95.22153766666668)","[90, 103]"
"(44.41716533333334, -99.554871)","[89, 91]"
"(42.083832, -105.88820433333335)","[90, 92, 107]"
"(36.41716533333334, -107.22153766666668)","[91, 102]"
"(29.417165333333333, -99.554871)","[94, 98]"
"(30.417165333333333, -98.22153766666668)","[93, 110]"
"(27.083832, -106.88820433333335)","[61, 96]"
"(23.417165333333333, -106.22153766666668)","[95, 97]"
"(20.75049866666667, -102.554871)","[96, 98]"
"(23.75049866666667, -99.554871)","[93, 97, 159]"
"(65.75049866666667, -118.554871)","[86, 100]"
"(63.750498666666665, -122.22153766666668)","[99, 101]"
"(58.750498666666665, -122.554871)","[100, 105, 111]"
"(33.41716533333334, -101.554871)","[92, 110]"
"(36.083832, -93.554871)","[89, 224]"
"(50.750498666666665, -128.554871)","[59, 105]"
"(55.083832, -127.88820433333332)","[101, 104]"
"(46.750498666666665, -120.88820433333335)",[107]
"(48.750498666666665, -114.22153766666668)","[91, 106, 108]"
"(54.083832, -112.22153766666668)","[107, 109]"
"(57.083832, -116.554871)","[108, 111]"
"(32.083832, -98.22153766666668)","[94, 102]"
"(56.41716533333334, -120.554871)","[101, 109]"
"(-93.91616800000001, -95.22153766666668)",[113]
"(-95.24950133333334, -97.22153766666668)","[112, 115]"
"(-99.24950133333334, -103.22153766666668)","[118, 126]"
"(-93.24950133333334, -98.22153766666668)","[113, 127]"
"(-83.916168, -128.554871)","[46, 117]"
"(-86.91616800000001, -127.88820433333332)","[116, 119]"
"(-102.58283466666667, -103.22153766666668)","[114, 122]"
"(-89.58283466666667, -124.22153766666668)","[117, 120]"
"(-89.24950133333334, -120.88820433333335)","[119, 123]"
"(-107.91616800000001, -95.22153766666668)","[122, 128]"
"(-103.58283466666667, -97.88820433333335)","[118, 121]"
"(-93.58283466666667, -118.22153766666668)","[120, 124]"
"(-91.58283466666667, -114.88820433333335)","[123, 125]"
"(-95.58283466666667, -111.88820433333335)","[124, 126]"
"(-95.24950133333334, -106.88820433333335)","[114, 125, 127]"
"(-91.58283466666667, -103.22153766666668)","[115, 126, 147]"
"(-108.24950133333334, -89.88820433333335)","[121, 129]"
"(-113.58283466666667, -87.554871)","[128, 130]"
"(-113.58283466666667, -82.554871)","[129, 134]"
"(-125.91616800000001, -69.88820433333335)","[132, 293]"
"(-120.91616800000001, -70.554871)","[131, 133]"
"(-118.24950133333334, -74.88820433333335)","[132, 134]"
"(-119.58283466666667, -80.22153766666668)","[130, 133]"
"(-83.58283466666667, -112.88820433333335)","[136, 145]"
"(-80.58283466666667, -112.22153766666668)","[135, 137]"
"(-81.24950133333333, -115.88820433333335)","[136, 138]"
"(-78.24950133333333, -119.88820433333335)","[137, 139]"
"(-73.24950133333333, -114.88820433333335)","[138, 140, 142]"
"(-67.58283466666667, -116.22153766666668)","[139, 141]"
"(-63.916168, -121.88820433333335)","[54, 140]"
"(-72.916168, -108.22153766666668)","[139, 150]"
"(-81.24950133333333, -90.554871)",[144]
"(-79.58283466666667, -96.554871)","[143, 149, 153]"
"(-81.58283466666667, -110.554871)","[135, 146]"
"(-84.58283466666667, -110.88820433333335)","[145, 147]"
"(-85.91616800000001, -105.88820433333335)","[127, 146, 148]"
"(-83.916168, -99.554871)","[147, 149]"
"(-79.916168, -102.554871)","[144, 148]"
"(-69.58283466666667, -105.554871)","[142, 152]"
"(-67.24950133333333, -89.22153766666668)","[155, 196]"
"(-73.58283466666667, -105.554871)","[150, 153]"
"(-74.58283466666667, -99.88820433333335)","[144, 152, 154]"
"(-72.916168, -93.22153766666668)","[153, 155]"
"(-67.24950133333333, -95.88820433333335)","[151, 154]"
"(-21.916168, -100.22153766666668)",[157]
"(-18.582834666666667, -102.554871)","[156, 158, 165]"
"(-17.916168, -105.88820433333335)",[157]
"(22.417165333333333, -94.22153766666668)","[98, 160]"
