"[-39.916168, -180.554871]","[-39.916168, -179.554871]","[-37.916168, -180.554871]"
"[-36.916168, -178.554871]","[-36.916168, -177.554871]","[-34.916168, -178.554871]"
"[-40.916168, -182.554871]","[-39.916168, -180.554871]","[-37.916168, -180.554871]"
"[-37.916168, -180.554871]","[-36.916168, -178.554871]","[-34.916168, -178.554871]"
"[-37.916168, -180.554871]","[-34.916168, -178.554871]","[-23.916168, -186.554871]"
"[-37.916168, -180.554871]","[-23.916168, -186.554871]","[-32.916168, -192.554871]"
"[-41.916168, -198.554871]","[-44.916168, -198.554871]","[-48.916168, -191.554871]"
"[-41.916168, -198.554871]","[-48.916168, -191.554871]","[-40.916168, -182.554871]"
"[-41.916168, -198.554871]","[-40.916168, -182.554871]","[-37.916168, -180.554871]"
"[-41.916168, -198.554871]","[-37.916168, -180.554871]","[-32.916168, -192.554871]"
"[-48.916168, -191.554871]","[-52.916168, -184.554871]","[-42.916168, -181.554871]"
"[-48.916168, -191.554871]","[-42.916168, -181.554871]","[-40.916168, -182.554871]"
"[-23.916168, -186.554871]","[-34.916168, -178.554871]","[-33.916168, -176.554871]"
"[-12.916168, -161.554871]","[-11.916168, -161.554871]","[-6.916168, -174.554871]"
"[-12.916168, -161.554871]","[-6.916168, -174.554871]","[-14.916168, -180.554871]"
"[-12.916168, -161.554871]","[-14.916168, -180.554871]","[-23.916168, -186.554871]"
"[-12.916168, -161.554871]","[-23.916168, -186.554871]","[-33.916168, -176.554871]"
"[-36.916168, -177.554871]","[-36.916168, -178.554871]","[-38.916168, -177.554871]"
"[-39.916168, -179.554871]","[-39.916168, -180.554871]","[-41.916168, -179.554871]"
"[-35.916168, -175.554871]","[-36.916168, -177.554871]","[-38.916168, -177.554871]"
"[-38.916168, -177.554871]","[-39.916168, -179.554871]","[-41.916168, -179.554871]"
"[-41.916168, -179.554871]","[-42.916168, -181.554871]","[-52.916168, -184.554871]"
"[-38.916168, -177.554871]","[-41.916168, -179.554871]","[-52.916168, -184.554871]"
"[-35.916168, -175.554871]","[-38.916168, -177.554871]","[-52.916168, -184.554871]"
"[-52.916168, -184.554871]","[-58.916168, -176.554871]","[-63.916168, -166.554871]"
"[-52.916168, -184.554871]","[-63.916168, -166.554871]","[-38.916168, -146.554871]"
"[-52.916168, -184.554871]","[-38.916168, -146.554871]","[-36.916168, -146.554871]"
